Date,commercial,industrial
1/1/01,629,13128
2/1/01,548,11421
3/1/01,553,12454
4/1/01,550,11674
5/1/01,575,11751
6/1/01,598,11949
7/1/01,732,13048
8/1/01,814,13566
9/1/01,636,12412
10/1/01,622,12721
11/1/01,548,12230
12/1/01,611,12822
1/1/02,597,13173
2/1/02,500,11850
3/1/02,573,12654
4/1/02,546,12176
5/1/02,566,12592
6/1/02,642,12829
7/1/02,743,13820
8/1/02,797,13438
9/1/02,676,12628
10/1/02,600,12363
11/1/02,554,12361
12/1/02,622,12697
1/1/03,617,13926
2/1/03,550,11999
3/1/03,594,12637
4/1/03,581,12159
5/1/03,598,12706
6/1/03,624,12763
7/1/03,709,13571
8/1/03,718,13678
9/1/03,640,12744
10/1/03,636,12816
11/1/03,588,12377
12/1/03,640,13154
1/1/04,694,13555
2/1/04,654,12348
3/1/04,634,12670
4/1/04,623,12334
5/1/04,699,12765
6/1/04,702,12853
7/1/04,763,13637
8/1/04,749,13181
9/1/04,707,12586
10/1/04,673,12301
11/1/04,656,12237
12/1/04,714,13459
